metric,n_repeats,ari_mean,ari_sd,ari_median,ari_min,ari_max,mislabeled_mean,mislabeled_median,mislabeled_min,mislabeled_max,converged_rate,iterations_mean
hamming,200,0.4741566044091311,0.10157415800373866,0.4733758530104677,0.043273544833723566,0.7616642629124611,8227.22,8273.0,2828,15824,1.0,3.19
hamming_rng,200,0.4295490909871754,0.07969781465490221,0.44266094071567175,0.04408404271513654,0.6121503186830761,8713.22,8651.0,5252,15843,1.0,3.13
embedding,200,0.3453180580108184,0.04879753891073514,0.3600061414172716,0.08791750340511145,0.4417028064190096,10155.795,10016.0,7361,15161,1.0,5.195
embedding_rng,200,0.3369367656539933,0.04613637724052473,0.34650540941811564,0.17315499813597998,0.4230945300016771,10132.42,9985.5,7542,14918,1.0,4.17
